50700,4665896876(0:1;),192299653(),1836173247(),2437926070(),2902878525(),2902878580(),3244832720(),3996125377(),3998352223(),4028922835(),4476805516(),4665617026(),4665712499(),4665891113(),4665892165(),4665897416(),4665897969(),4665903885(),4765556460(),4811385025(),4857080139(),4857081234(),4857082814(),4861489847(),4962227484(),4974633892(),4974634423(),4974635509(),4974635914(),4974636262(),4974636615(),4974637317(),4974637670(),4974638024(),4974639465(),4974639809(),4974641217(),4974641577(),4974641942(),5022579678(),5310996749(),5351575862(),5402488769(),5456887674(),5456984290(),5494054149(),5544435560(),5567180387(),5576569593(),5633031188(),5664371117(),5844816811(),5889934721(),5912313637(),5921809619(),5950686756(),5950830609(),5960925264(),5966089485(),6000618870(),6114773114(),6119300167(),6133390513(),6133391745(),6176114691(),6176858948(),6176871439(),6183975952(),6184860354(),6184995193(),6186120532(),6186409027(),6186409254(),6206862915(),6206866677(),6206868490(),6207115053(),6219557576(),6225099547(),6233284111(),6236788405(),6238340468(),6238835298(),6238835525(),6238836357(),6238837081(),6238837822(),6238838528(),6238839290(),6238840043(),6238841354(),6238842108(),6238842343(),6238843128(),6238843875(),6238844615(),6239416246(),6239580865(),6240256777(),6240926079(),6254115034(),
51000,4665896876(0:5;),192299653(0:2;),1836173247(0:1;),2437926070(0:1;),2902878525(0:4;),2902878580(0:19;),3244832720(0:2;),3996125377(0:1;),3998352223(0:1;),4028922835(0:10;),4476805516(0:5;),4665617026(0:4;),4665712499(0:8;),4665891113(0:6;),4665892165(0:5;),4665897416(0:3;),4665897969(0:2;),4665903885(0:5;),4765556460(0:6;),4811385025(0:1;),4857080139(0:3;),4857081234(0:2;),4857082814(0:3;),4861489847(0:1;),4962227484(0:1;),4974633892(0:2;),4974634423(0:2;),4974635509(0:1;),4974635914(0:2;),4974636262(0:1;),4974636615(0:2;),4974637317(0:1;),4974637670(0:2;),4974638024(0:2;),4974639465(0:1;),4974639809(0:2;),4974641217(0:1;),4974641577(0:2;),4974641942(0:1;),5022579678(0:2;),5310996749(0:1;),5351575862(0:1;),5402488769(0:20;),5456887674(0:2;),5456984290(0:3;),5494054149(0:2;),5544435560(0:2;),5567180387(0:2;),5576569593(0:1;),5633031188(0:4;),5664371117(0:4;),5844816811(0:2;),5889934721(0:4;),5912313637(0:2;),5921809619(0:3;),5950686756(0:1;),5950830609(0:2;),5960925264(0:1;),5966089485(0:2;),6000618870(0:2;),6114773114(0:10;),6119300167(0:1;),6133390513(0:3;),6133391745(0:2;),6176114691(0:1;),6176858948(0:16;),6176871439(0:15;),6183975952(0:1;),6184860354(0:1;),6184995193(0:1;),6186120532(0:5;),6186409027(0:1;),6186409254(0:3;),6206862915(0:3;),6206866677(0:2;),6206868490(0:1;),6207115053(0:1;),6219557576(0:2;),6225099547(0:22;),6233284111(0:3;),6236788405(0:1;),6238340468(0:6;),6238835298(0:1;),6238835525(0:1;),6238836357(0:1;),6238837081(0:1;),6238837822(0:2;),6238838528(0:1;),6238839290(0:1;),6238840043(0:1;),6238841354(0:1;),6238842108(0:1;),6238842343(0:1;),6238843128(0:1;),6238843875(0:1;),6238844615(0:1;),6239416246(0:1;),6239580865(0:1;),6240256777(0:2;),6240926079(0:1;),6254115034(0:2;),
51300,4665896876(0:2;),192299653(1:1;),1836173247(1:1;),2437926070(2:1;),2902878525(2:4;),2902878580(2:20;),3244832720(2:2;),3996125377(2:2;),3998352223(2:1;),4028922835(2:9;),4476805516(2:5;),4665617026(2:4;),4665712499(2:7;),4665891113(2:3;3:4;),4665892165(3:5;),4665897416(3:3;),4665897969(3:2;),4665903885(3:4;),4765556460(3:7;),4811385025(3:2;),4857080139(3:2;),4857081234(3:3;),4857082814(3:2;),4861489847(3:1;),4962227484(3:2;),4974633892(3:1;),4974634423(3:2;),4974635509(3:2;),4974635914(3:1;),4974636262(3:2;),4974636615(3:2;),4974637317(3:1;),4974637670(3:2;),4974638024(3:1;),4974639465(3:2;),4974639809(3:2;),4974641217(3:1;),4974641577(3:2;),4974641942(3:2;),5022579678(3:2;),5310996749(3:1;),5351575862(3:1;),5402488769(3:4;4:16;),5456887674(4:2;),5456984290(4:3;),5494054149(4:2;),5544435560(4:2;),5567180387(4:1;),5576569593(4:1;),5633031188(4:4;),5664371117(4:4;),5844816811(4:1;),5889934721(4:3;),5912313637(0:2;),5921809619(0:2;),5950686756(0:1;),5950830609(0:1;),5960925264(0:1;),5966089485(0:2;),6000618870(0:1;),6114773114(0:10;),6119300167(0:2;),6133390513(0:2;),6133391745(0:3;),6176114691(0:1;),6176858948(0:10;1:6;),6176871439(1:15;),6183975952(1:2;),6184860354(1:1;),6184995193(1:2;),6186120532(1:5;),6186409027(1:1;),6186409254(1:2;),6206862915(1:3;),6206866677(1:1;),6206868490(1:1;),6207115053(1:1;),6219557576(2:3;),6225099547(2:1;4:22;),6233284111(4:3;),6236788405(4:1;),6238340468(0:1;4:5;),6238835298(4:1;),6238835525(4:1;),6238836357(4:1;),6238837081(4:1;),6238837822(4:1;),6238838528(4:1;),6238839290(4:1;),6238840043(4:1;),6238841354(4:1;),6238842108(4:1;),6238842343(4:1;),6238843128(4:1;),6238843875(4:1;),6238844615(4:1;),6239416246(4:1;),6239580865(4:1;),6240256777(4:2;),6240926079(4:1;),6254115034(4:2;),
51600,4665896876(2:1;3:2;),192299653(3:1;),1836173247(3:1;),2437926070(3:2;),2902878525(3:4;),2902878580(3:19;),3244832720(3:2;),3996125377(3:1;),3998352223(3:1;),4028922835(3:1;4:9;),4476805516(4:5;),4665617026(4:4;),4665712499(4:8;),4665891113(4:6;),4665892165(4:5;),4665897416(4:3;),4665897969(4:2;),4665903885(4:4;),4765556460(4:6;),4811385025(4:1;),4857080139(4:3;),4857081234(4:2;),4857082814(4:3;),4861489847(4:1;),4962227484(4:1;),4974633892(4:2;),4974634423(4:2;),4974635509(4:1;),4974635914(4:2;),4974636262(4:2;),4974636615(4:1;),4974637317(4:2;),4974637670(4:2;),4974638024(4:1;),4974639465(4:2;),4974639809(4:1;),4974641217(4:2;),4974641577(4:2;),4974641942(4:1;),5022579678(4:2;),5310996749(4:1;),5351575862(4:1;),5402488769(4:20;),5456887674(4:2;),5456984290(4:3;),5494054149(4:1;),5544435560(0:2;),5567180387(0:1;),5576569593(0:1;),5633031188(0:4;),5664371117(0:4;),5844816811(0:1;),5889934721(0:4;),5912313637(0:2;),5921809619(0:3;3:1;),5950686756(0:2;),5950830609(0:1;),5960925264(0:1;),5966089485(0:2;),6000618870(0:1;),6114773114(0:6;1:5;),6119300167(1:2;),6133390513(1:3;),6133391745(1:2;),6176114691(1:1;),6176858948(1:16;),6176871439(1:11;2:4;),6183975952(2:1;),6184860354(2:1;),6184995193(2:1;),6186120532(2:5;),6186409027(2:1;),6186409254(2:3;),6206862915(2:3;),6206866677(2:2;),6206868490(2:1;),6207115053(2:2;),6219557576(2:3;),6225099547(1:2;3:20;),6233284111(3:3;),6236788405(3:1;),6238340468(0:1;3:7;),6238835298(3:1;),6238835525(3:1;),6238836357(3:1;),6238837081(3:1;),6238837822(3:1;),6238838528(3:1;),6238839290(3:1;),6238840043(3:1;),6238841354(3:1;),6238842108(3:1;),6238842343(3:1;),6238843128(3:1;),6238843875(3:1;),6238844615(3:1;),6239416246(),6239580865(3:1;),6240256777(3:2;),6240926079(3:1;),6254115034(0:2;),
51900,4665896876(0:1;1:1;5:2;),192299653(6:2;),1836173247(7:2;),2437926070(8:1;),2902878525(8:1;9:2;),2902878580(10:2;11:18;),3244832720(11:2;),3996125377(11:2;),3998352223(12:2;),4028922835(12:10;),4476805516(12:5;),4665617026(12:4;),4665712499(12:8;),4665891113(12:4;13:2;),4665892165(13:5;),4665897416(13:3;),4665897969(13:1;),4665903885(13:4;),4765556460(13:7;),4811385025(13:2;),4857080139(13:2;),4857081234(13:3;),4857082814(13:2;),4861489847(13:1;),4962227484(13:1;),4974633892(14:2;),4974634423(14:1;),4974635509(14:2;),4974635914(14:1;),4974636262(14:2;),4974636615(14:2;),4974637317(14:1;),4974637670(14:2;),4974638024(14:2;),4974639465(14:1;),4974639809(14:2;),4974641217(14:2;),4974641577(14:1;),4974641942(14:2;),5022579678(14:1;),5310996749(14:1;),5351575862(14:1;),5402488769(14:7;15:13;),5456887674(15:1;),5456984290(15:2;),5494054149(15:2;),5544435560(15:3;),5567180387(1:2;),5576569593(1:1;),5633031188(1:2;2:3;),5664371117(2:4;),5844816811(2:1;),5889934721(2:4;),5912313637(2:2;),5921809619(2:1;3:1;),5950686756(3:1;),5950830609(3:1;),5960925264(3:1;),5966089485(3:2;),6000618870(3:1;),6114773114(0:1;3:8;4:2;),6119300167(4:1;),6133390513(4:3;),6133391745(4:2;),6176114691(4:2;),6176858948(4:5;5:7;6:3;),6176871439(6:4;7:7;8:4;),6183975952(8:2;),6184860354(8:1;),6184995193(9:2;),6186120532(9:5;),6186409027(10:1;),6186409254(10:2;),6206862915(10:3;),6206866677(10:1;),6206868490(11:1;),6207115053(11:1;),6219557576(1:1;11:1;),6225099547(15:12;16:10;),6233284111(16:2;),6236788405(16:2;),6238340468(0:12;),6238835298(0:1;),6238835525(0:1;),6238836357(0:1;),6238837081(1:1;),6238837822(1:1;),6238838528(1:1;),6238839290(1:1;),6238840043(1:1;),6238841354(1:1;),6238842108(1:1;),6238842343(1:1;),6238843128(1:1;),6238843875(1:1;),6238844615(1:1;),6239416246(),6239580865(1:1;),6240256777(1:2;),6240926079(1:1;),6254115034(0:2;),
52200,4665896876(6:3;),192299653(2:1;),1836173247(2:1;),2437926070(2:1;),2902878525(2:4;),2902878580(2:5;3:12;4:2;),3244832720(4:2;),3996125377(4:1;),3998352223(4:1;),4028922835(4:6;5:4;),4476805516(6:3;7:2;),4665617026(7:4;),4665712499(8:6;9:2;),4665891113(9:4;10:2;),4665892165(10:4;11:1;),4665897416(11:3;),4665897969(11:1;),4665903885(11:1;12:3;),4765556460(12:3;13:3;),4811385025(13:2;),4857080139(13:1;14:2;),4857081234(14:2;),4857082814(14:2;15:1;),4861489847(15:1;),4962227484(15:1;),4974633892(15:2;),4974634423(15:1;),4974635509(16:2;),4974635914(16:2;),4974636262(16:1;),4974636615(16:1;17:1;),4974637317(17:2;),4974637670(17:1;),4974638024(17:2;),4974639465(18:1;),4974639809(18:2;),4974641217(18:2;),4974641577(18:1;),4974641942(19:2;),5022579678(19:1;),5310996749(19:1;),5351575862(19:1;),5402488769(19:1;20:6;21:6;22:6;23:1;),5456887674(23:1;),5456984290(23:2;),5494054149(5:1;23:2;),5544435560(24:3;),5567180387(31:2;),5576569593(31:1;),5633031188(31:4;),5664371117(32:4;),5844816811(0:1;),5889934721(1:1;2:1;3:1;4:1;),5912313637(6:1;7:1;),5921809619(8:1;9:1;),5950686756(10:1;),5950830609(10:1;),5960925264(11:1;),5966089485(6:1;11:1;12:1;),6000618870(7:1;),6114773114(10:1;11:1;12:1;13:3;14:2;24:2;),6119300167(14:1;15:1;),6133390513(15:2;),6133391745(16:3;),6176114691(17:1;),6176858948(17:2;18:3;19:3;20:3;21:3;22:2;),6176871439(12:1;22:1;23:3;24:3;25:3;26:3;27:2;),6183975952(0:1;),6184860354(0:2;),6184995193(0:2;),6186120532(0:5;),6186409027(1:1;),6186409254(1:2;),6206862915(1:3;),6206866677(1:1;),6206868490(1:2;),6207115053(1:1;),6219557576(8:1;9:1;),6225099547(27:1;28:3;29:3;30:3;31:2;32:10;),6233284111(32:3;),6236788405(32:1;),6238340468(24:1;25:6;26:6;27:5;),6238835298(27:1;),6238835525(28:1;),6238836357(28:1;),6238837081(28:1;),6238837822(28:1;),6238838528(28:1;),6238839290(28:1;),6238840043(29:1;),6238841354(29:1;),6238842108(29:1;),6238842343(29:1;),6238843128(29:1;),6238843875(29:1;),6238844615(30:1;),6239416246(30:1;),6239580865(30:2;),6240256777(30:1;),6240926079(30:1;),6254115034(5:2;),
52500,4665896876(0:1;4:2;),192299653(4:2;),1836173247(4:2;),2437926070(4:1;),2902878525(4:3;),2902878580(4:14;5:6;),3244832720(5:2;),3996125377(5:2;),3998352223(5:2;),4028922835(5:10;),4476805516(5:5;),4665617026(5:4;),4665712499(5:2;6:5;),4665891113(6:7;),4665892165(6:5;),4665897416(6:2;),4665897969(6:2;),4665903885(6:4;),4765556460(6:7;),4811385025(6:1;7:1;),4857080139(7:2;),4857081234(7:3;),4857082814(7:2;),4861489847(7:1;),4962227484(7:1;),4974633892(7:1;),4974634423(7:2;),4974635509(7:2;),4974635914(7:1;),4974636262(7:2;),4974636615(7:2;),4974637317(7:1;),4974637670(7:2;),4974638024(7:1;),4974639465(7:2;),4974639809(7:2;),4974641217(7:1;),4974641577(7:2;),4974641942(7:2;),5022579678(8:1;),5310996749(8:1;),5351575862(8:1;),5402488769(1:13;2:7;),5456887674(2:2;),5456984290(2:2;),5494054149(2:2;),5544435560(2:2;),5567180387(2:1;),5576569593(2:1;),5633031188(2:4;),5664371117(2:5;),5844816811(2:1;),5889934721(3:4;),5912313637(3:2;),5921809619(3:2;),5950686756(3:1;),5950830609(3:1;),5960925264(3:1;),5966089485(3:2;),6000618870(3:1;),6114773114(3:1;8:10;),6119300167(8:2;),6133390513(8:2;),6133391745(8:3;),6176114691(8:1;),6176858948(1:1;3:9;8:6;),6176871439(3:11;4:4;),6183975952(4:2;),6184860354(4:1;),6184995193(4:2;),6186120532(4:5;),6186409027(4:1;),6186409254(4:2;),6206862915(4:3;),6206866677(4:1;),6206868490(4:1;),6207115053(4:1;),6219557576(4:2;),6225099547(8:6;9:16;),6233284111(9:3;),6236788405(9:2;),6238340468(0:17;1:1;9:1;),6238835298(0:1;),6238835525(1:1;),6238836357(1:1;),6238837081(1:1;),6238837822(1:1;),6238838528(1:1;),6238839290(1:1;),6238840043(1:1;),6238841354(1:1;),6238842108(1:1;),6238842343(1:1;),6238843128(1:1;),6238843875(1:1;),6238844615(1:1;),6239416246(4:1;),6239580865(4:1;),6240256777(4:2;),6240926079(4:1;),6254115034(0:2;),
52800,4665896876(0:3;),192299653(17:1;24:1;),1836173247(24:1;),2437926070(24:1;),2902878525(24:4;),2902878580(24:19;),3244832720(24:2;),3996125377(0:1;),3998352223(0:1;),4028922835(0:10;),4476805516(0:3;1:2;),4665617026(1:4;),4665712499(1:8;),4665891113(1:6;),4665892165(2:5;),4665897416(2:3;),4665897969(2:1;),4665903885(2:4;),4765556460(3:6;),4811385025(3:1;),4857080139(3:3;),4857081234(3:2;),4857082814(3:1;4:2;),4861489847(4:1;),4962227484(4:1;),4974633892(4:2;),4974634423(4:1;),4974635509(4:2;),4974635914(4:2;),4974636262(4:1;),4974636615(4:1;5:1;),4974637317(5:2;),4974637670(5:1;),4974638024(5:2;),4974639465(6:2;),4974639809(6:1;),4974641217(6:2;),4974641577(6:1;),4974641942(7:2;),5022579678(7:1;),5310996749(7:2;),5351575862(7:1;),5402488769(1:10;8:3;16:5;17:2;),5456887674(17:2;),5456984290(17:3;),5494054149(16:1;),5544435560(16:2;18:1;),5567180387(19:1;),5576569593(20:1;),5633031188(21:1;22:1;23:1;24:1;),5664371117(24:4;),5844816811(8:2;),5889934721(8:1;9:3;),5912313637(9:2;),5921809619(9:1;10:2;),5950686756(10:1;),5950830609(10:2;),5960925264(),5966089485(17:2;),6000618870(17:2;),6114773114(2:1;18:7;19:3;),6119300167(19:1;),6133390513(19:3;),6133391745(20:2;),6176114691(20:1;),6176858948(20:4;21:7;22:5;),6176871439(1:1;3:2;4:2;5:1;22:2;23:7;),6183975952(5:1;),6184860354(6:1;),6184995193(6:1;),6186120532(7:2;8:2;9:1;),6186409027(9:1;),6186409254(10:2;11:1;),6206862915(11:1;12:2;),6206866677(13:2;),6206868490(14:1;),6207115053(14:1;),6219557576(15:2;),6225099547(0:1;5:1;6:1;7:1;8:1;9:1;10:1;11:1;12:1;13:1;14:1;15:1;18:1;19:1;20:1;21:1;22:1;23:1;24:4;),6233284111(24:3;),6236788405(24:1;),6238340468(10:1;11:6;12:6;13:6;14:3;24:3;),6238835298(14:1;),6238835525(14:1;),6238836357(14:1;),6238837081(15:1;),6238837822(15:1;),6238838528(15:1;),6238839290(15:1;),6238840043(15:1;),6238841354(15:1;),6238842108(16:1;),6238842343(16:1;),6238843128(16:1;),6238843875(16:1;),6238844615(16:1;),6239416246(16:1;),6239580865(17:1;),6240256777(17:1;),6240926079(17:1;),6254115034(0:2;),
53100,4665896876(0:1;1:1;6:1;7:1;8:1;),192299653(8:2;),1836173247(8:2;),2437926070(8:1;),2902878525(8:3;),2902878580(8:20;),3244832720(8:2;),3996125377(8:2;),3998352223(8:2;),4028922835(8:10;),4476805516(8:5;),4665617026(8:4;),4665712499(8:7;),4665891113(8:1;9:6;),4665892165(9:5;),4665897416(9:2;),4665897969(0:1;9:2;),4665903885(9:4;),4765556460(9:7;),4811385025(9:2;),4857080139(9:2;),4857081234(9:3;),4857082814(9:2;),4861489847(9:1;),4962227484(9:1;),4974633892(9:2;),4974634423(9:1;),4974635509(9:2;),4974635914(9:1;),4974636262(9:2;),4974636615(9:2;),4974637317(9:1;),4974637670(9:2;),4974638024(9:2;),4974639465(9:1;),4974639809(9:2;),4974641217(9:2;),4974641577(9:1;),4974641942(9:2;),5022579678(9:1;),5310996749(9:1;),5351575862(9:1;),5402488769(3:21;),5456887674(3:1;),5456984290(3:1;4:1;),5494054149(4:1;),5544435560(4:3;),5567180387(2:1;4:1;),5576569593(2:1;),5633031188(2:4;),5664371117(2:4;),5844816811(2:2;),5889934721(2:3;3:1;),5912313637(3:1;4:1;),5921809619(4:3;),5950686756(4:1;),5950830609(4:2;),5960925264(0:1;4:1;),5966089485(4:3;),6000618870(4:2;),6114773114(3:1;4:1;5:1;6:2;7:5;),6119300167(7:1;),6133390513(7:3;),6133391745(1:1;7:1;),6176114691(4:2;),6176858948(4:10;5:5;),6176871439(5:16;),6183975952(5:1;),6184860354(6:1;),6184995193(6:1;),6186120532(6:5;),6186409027(6:1;),6186409254(6:3;),6206862915(6:3;),6206866677(6:2;),6206868490(6:1;),6207115053(6:2;),6219557576(0:1;6:2;),6225099547(7:22;),6233284111(7:1;8:1;),6236788405(8:1;),6238340468(0:13;8:1;),6238835298(1:1;),6238835525(1:1;),6238836357(1:1;),6238837081(1:2;),6238837822(1:1;),6238838528(1:1;),6238839290(1:1;),6238840043(1:1;),6238841354(1:1;),6238842108(1:1;),6238842343(1:1;),6238843128(1:1;),6238843875(1:1;),6238844615(1:1;),6239416246(1:1;),6239580865(1:1;),6240256777(1:2;),6240926079(1:1;),6254115034(0:2;),
53400,4665896876(2:4;),192299653(2:2;),1836173247(2:1;3:1;),2437926070(3:1;),2902878525(3:3;),2902878580(3:3;4:8;5:4;6:4;7:1;),3244832720(7:2;),3996125377(7:1;8:1;),3998352223(8:2;),4028922835(8:1;9:4;10:4;11:1;),4476805516(11:3;12:2;),4665617026(12:2;13:2;),4665712499(13:2;14:4;15:1;),4665891113(15:3;16:4;),4665892165(17:4;18:1;),4665897416(18:2;),4665897969(18:1;19:1;),4665903885(19:3;20:1;),4765556460(20:3;21:4;),4811385025(22:2;),4857080139(22:2;),4857081234(23:3;),4857082814(23:1;24:1;),4861489847(24:1;),4962227484(24:1;),4974633892(24:1;),4974634423(25:2;),4974635509(25:2;),4974635914(26:1;),4974636262(26:2;),4974636615(26:1;27:1;),4974637317(27:1;),4974637670(27:2;),4974638024(28:2;),4974639465(28:1;),4974639809(28:1;29:1;),4974641217(29:2;),4974641577(29:1;),4974641942(30:2;),5022579678(30:1;),5310996749(30:1;),5351575862(31:1;),5402488769(0:10;1:8;31:3;32:1;),5456887674(1:1;),5456984290(1:1;2:1;),5494054149(2:1;),5544435560(2:3;),5567180387(2:1;37:1;),5576569593(37:1;),5633031188(37:1;38:3;),5664371117(38:4;),5844816811(33:1;),5889934721(34:1;35:1;36:1;39:1;),5912313637(39:2;),5921809619(39:3;),5950686756(39:1;),5950830609(39:1;),5960925264(39:1;),5966089485(39:1;),6000618870(39:1;),6114773114(39:2;40:8;),6119300167(40:2;),6133390513(0:1;1:1;40:1;),6133391745(2:1;5:1;),6176114691(6:1;7:1;),6176858948(8:1;9:1;10:1;11:1;12:1;13:1;14:1;15:1;16:1;17:1;18:1;19:1;20:1;21:1;22:1;),6176871439(23:1;24:1;25:1;26:1;27:1;28:1;29:1;30:1;31:1;33:1;34:1;35:1;36:1;38:1;39:1;40:1;),6183975952(0:1;),6184860354(0:2;),6184995193(0:2;),6186120532(0:5;),6186409027(1:1;),6186409254(1:2;),6206862915(1:4;),6206866677(1:1;),6206868490(1:2;),6207115053(2:1;),6219557576(3:1;4:1;),6225099547(40:17;41:5;),6233284111(41:2;),6236788405(41:1;),6238340468(32:3;33:6;34:3;),6238835298(34:1;),6238835525(34:1;),6238836357(34:1;),6238837081(35:1;),6238837822(35:1;),6238838528(35:1;),6238839290(35:1;),6238840043(35:1;),6238841354(35:1;),6238842108(36:1;),6238842343(36:1;),6238843128(36:1;),6238843875(36:1;),6238844615(36:1;),6239416246(36:1;),6239580865(37:2;),6240256777(37:1;),6240926079(37:1;),6254115034(32:2;),
53700,4665896876(0:1;1:1;),192299653(6:1;7:1;),1836173247(8:1;9:1;),2437926070(10:1;),2902878525(11:1;12:1;13:1;),2902878580(13:6;14:12;15:2;),3244832720(15:2;),3996125377(3:1;4:1;),3998352223(14:1;),4028922835(16:1;17:1;18:1;19:6;),4476805516(19:1;20:4;),4665617026(20:4;),4665712499(20:7;),4665891113(20:7;),4665892165(21:5;),4665897416(21:3;),4665897969(21:2;),4665903885(21:4;),4765556460(21:7;),4811385025(21:1;22:1;),4857080139(22:2;),4857081234(22:3;),4857082814(22:2;),4861489847(22:1;),4962227484(22:2;),4974633892(22:1;),4974634423(22:2;),4974635509(22:2;),4974635914(22:1;),4974636262(22:2;),4974636615(22:2;),4974637317(22:1;),4974637670(23:2;),4974638024(23:1;),4974639465(23:2;),4974639809(23:2;),4974641217(23:1;),4974641577(23:2;),4974641942(23:2;),5022579678(5:1;),5310996749(5:1;),5351575862(5:1;),5402488769(1:10;2:8;6:2;),5456887674(2:1;),5456984290(2:2;),5494054149(2:2;),5544435560(2:1;3:2;),5567180387(3:1;),5576569593(2:1;),5633031188(2:4;),5664371117(0:1;2:1;3:3;),5844816811(3:1;),5889934721(3:3;4:1;),5912313637(4:2;5:1;15:1;),5921809619(4:2;),5950686756(4:1;),5950830609(4:1;),5960925264(15:1;),5966089485(15:4;),6000618870(6:1;15:1;),6114773114(4:1;7:1;15:2;16:8;),6119300167(16:2;),6133390513(16:3;),6133391745(17:2;),6176114691(17:2;),6176858948(17:9;18:6;),6176871439(18:7;19:9;),6183975952(0:1;),6184860354(0:2;),6184995193(0:2;),6186120532(0:5;),6186409027(1:1;),6186409254(1:3;),6206862915(1:3;),6206866677(1:1;),6206868490(1:2;),6207115053(2:1;),6219557576(2:1;3:1;5:1;),6225099547(8:1;9:1;10:1;11:1;12:1;19:1;20:1;21:1;22:1;23:13;),6233284111(23:2;),6236788405(23:1;24:1;),6238340468(6:4;7:6;8:6;9:6;10:2;24:1;),6238835298(10:1;),6238835525(10:1;),6238836357(10:1;),6238837081(10:1;),6238837822(11:1;),6238838528(11:1;),6238839290(11:1;),6238840043(11:1;),6238841354(11:1;),6238842108(11:1;),6238842343(12:1;),6238843128(12:1;),6238843875(12:1;),6238844615(12:1;),6239416246(12:1;),6239580865(12:1;13:1;),6240256777(13:1;),6240926079(13:1;),6254115034(5:2;),
