0.45*0(0),0.3*0(0),0.15*1(0),0.1*1(0),0.045*2(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*0(0),0.045*32(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*22(0),0.045*30(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*24(0),0.045*27(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*3(0),0.1*38(0),0.045*32(0),0.015*0(0)
0.45*0(0),0.3*3(0),0.15*2(0),0.1*9(1),0.045*34(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*32(0),0.045*26(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*21(0),0.045*15(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*33(0),0.045*14(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*7(0),0.1*23(0),0.045*39(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*2(0),0.1*32(0),0.045*18(0),0.015*0(0)
0.45*0(0),0.3*1(0),0.15*1(0),0.1*19(0),0.045*20(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*26(0),0.045*24(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*11(0),0.1*19(0),0.045*18(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*34(0),0.045*12(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*33(0),0.045*19(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*7(0),0.045*7(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*13(0),0.045*7(0),0.015*0(0)
0.45*0(0),0.3*12(0),0.15*0(0),0.1*12(0),0.045*6(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*40(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*40(0),0.045*27(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*69(0),0.045*3(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*26(0),0.045*13(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*32(0),0.045*26(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*24(1),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*26(0),0.045*24(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*21(0),0.045*25(0),0.015*0(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*9(0),0.045*24(0),0.015*0(0)
