0.45*0(0),0.3*0(0),0.15*0(0),0.1*1(0),0.045*0(0),0.015*64(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*0(0),0.045*17(0),0.015*45(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*1(0),0.045*20(0),0.015*42(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*0(0),0.015*36(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*41(0),0.045*2(1),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*5(0),0.045*19(0),0.015*38(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*39(0),0.045*8(0),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*10(0),0.045*19(0),0.015*35(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*35(0),0.045*13(0),0.015*12(0)
0.45*0(0),0.3*0(0),0.15*8(0),0.1*8(0),0.045*33(0),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*42(0),0.045*1(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*22(0),0.045*21(0),0.015*23(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*18(0),0.015*18(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*10(0),0.045*36(0),0.015*13(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*34(0),0.045*8(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*29(0),0.045*29(0),0.015*8(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*1(0),0.045*0(0),0.015*62(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*1(0),0.045*0(0),0.015*60(0)
0.45*0(0),0.3*16(0),0.15*0(0),0.1*8(0),0.045*0(0),0.015*14(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*7(0),0.045*28(0),0.015*23(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*59(0),0.045*5(0),0.015*5(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*61(0),0.045*1(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*15(0),0.045*8(0),0.015*42(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*36(0),0.045*21(0),0.015*6(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*15(0),0.045*43(0),0.015*6(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*7(0),0.045*40(0),0.015*19(0)
0.45*0(0),0.3*0(0),0.15*1(0),0.1*7(0),0.045*10(0),0.015*45(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*18(0),0.045*21(0),0.015*22(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*24(0),0.045*15(0),0.015*23(0)
0.45*0(0),0.3*0(0),0.15*3(0),0.1*6(0),0.045*31(0),0.015*21(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*52(0),0.045*0(0),0.015*13(0)
0.45*0(0),0.3*0(0),0.15*6(0),0.1*20(0),0.045*25(0),0.015*8(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*25(0),0.045*15(0),0.015*24(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*59(0),0.045*0(0),0.015*1(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*0(0),0.045*0(0),0.015*62(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*1(0),0.045*23(0),0.015*40(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*51(0),0.045*0(0),0.015*8(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*0(0),0.045*67(0),0.015*1(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*52(0),0.045*1(0),0.015*12(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*35(0),0.045*16(0),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*42(0),0.045*17(0),0.015*11(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*18(0),0.045*36(0),0.015*9(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*45(0),0.045*15(0),0.015*4(0)
0.45*0(0),0.3*10(0),0.15*0(0),0.1*6(0),0.045*14(0),0.015*30(0)
0.45*0(0),0.3*0(0),0.15*4(0),0.1*17(0),0.045*18(0),0.015*25(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*41(0),0.045*3(0),0.015*20(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*30(0),0.045*16(0),0.015*15(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*8(0),0.045*50(0),0.015*3(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*17(0),0.045*9(0),0.015*39(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*11(0),0.045*49(0),0.015*8(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*33(0),0.045*9(0),0.015*27(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*21(0),0.045*30(0),0.015*16(0)
0.45*0(0),0.3*0(0),0.15*0(0),0.1*7(0),0.045*2(0),0.015*51(0)
